#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	CDK6	9606.ENSP00000361423	9606.ENSP00000265734	0	0	0	0.616	0.062	0.072	0.900	0.423	0.919
ABL1	CDK2	9606.ENSP00000361423	9606.ENSP00000266970	0	0	0	0.658	0.085	0.102	0.900	0.502	0.925
ABL1	ERBB3	9606.ENSP00000361423	9606.ENSP00000267101	0	0	0	0.578	0	0.455	0	0.453	0.554
ABL1	ERBB2	9606.ENSP00000361423	9606.ENSP00000269571	0	0	0	0.590	0	0.667	0	0.704	0.762
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0.069	0.838	0	0.752	0.890
ABL1	EPHA1	9606.ENSP00000361423	9606.ENSP00000275815	0	0	0	0.616	0	0	0.800	0.397	0.828
ABL1	NTRK2	9606.ENSP00000361423	9606.ENSP00000277120	0	0	0	0.638	0	0	0.800	0.671	0.847
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.875	0.900	0.946	0.999
ABL1	EPHA4	9606.ENSP00000361423	9606.ENSP00000281821	0	0	0	0.616	0.062	0.113	0.800	0.258	0.834
ABL1	KIT	9606.ENSP00000361423	9606.ENSP00000288135	0	0	0	0.598	0	0.339	0	0.751	0.536
ABL1	BCR	9606.ENSP00000361423	9606.ENSP00000303507	0	0	0	0	0.069	0.770	0.800	0.944	0.997
ABL1	PRKDC	9606.ENSP00000361423	9606.ENSP00000313420	0	0	0	0	0.062	0.317	0	0.805	0.864
ABL1	PAK2	9606.ENSP00000361423	9606.ENSP00000314067	0	0	0	0.585	0.064	0.296	0	0.368	0.410
ABL1	EPHB3	9606.ENSP00000361423	9606.ENSP00000332118	0	0	0	0.617	0.062	0.057	0.800	0.232	0.822
ABL1	MAPK11	9606.ENSP00000361423	9606.ENSP00000333685	0	0	0	0.595	0.085	0.148	0.600	0.251	0.691
ABL1	EPHA3	9606.ENSP00000361423	9606.ENSP00000337451	0	0	0	0.618	0	0.282	0.800	0.288	0.865
ABL1	LCK	9606.ENSP00000361423	9606.ENSP00000337825	0	0	0	0.887	0	0	0.900	0.658	0.907
ABL1	TRIO	9606.ENSP00000361423	9606.ENSP00000339299	0	0	0	0.543	0.142	0.330	0	0.214	0.450
ABL1	ERBB4	9606.ENSP00000361423	9606.ENSP00000342235	0	0	0	0.596	0	0.455	0	0.554	0.573
ABL1	JAK1	9606.ENSP00000361423	9606.ENSP00000343204	0	0	0	0.571	0	0.462	0	0.842	0.654
ABL1	ATR	9606.ENSP00000361423	9606.ENSP00000343741	0	0	0	0	0.064	0.496	0.900	0.292	0.962
ABL1	FYN	9606.ENSP00000361423	9606.ENSP00000346671	0	0	0	0.880	0	0.115	0.900	0.693	0.915
ABL1	EPHB4	9606.ENSP00000361423	9606.ENSP00000350896	0	0	0	0.620	0.069	0.057	0.800	0.380	0.834
ABL1	EPHA2	9606.ENSP00000361423	9606.ENSP00000351209	0	0	0	0.621	0.070	0	0.800	0.407	0.834
ABL1	NTRK3	9606.ENSP00000361423	9606.ENSP00000354207	0	0	0	0.631	0	0	0.800	0.415	0.828
ABL1	MTOR	9606.ENSP00000361423	9606.ENSP00000354558	0	0	0	0	0.090	0.317	0	0.416	0.606
ABL1	MAPKAPK2	9606.ENSP00000361423	9606.ENSP00000356070	0	0	0	0	0.065	0.059	0	0.524	0.545
ABL1	EPHA7	9606.ENSP00000361423	9606.ENSP00000358309	0	0	0	0.608	0.062	0.057	0.800	0.181	0.818
ABL1	SRPK2	9606.ENSP00000361423	9606.ENSP00000377262	0	0	0	0	0.077	0.318	0	0.155	0.422
ABL1	LRRK1	9606.ENSP00000361423	9606.ENSP00000373600	0	0	0	0.543	0.053	0.407	0	0.094	0.429
ABL1	CDK1	9606.ENSP00000361423	9606.ENSP00000378699	0	0	0	0.664	0.062	0.351	0	0.471	0.461
ABL1	HIPK2	9606.ENSP00000361423	9606.ENSP00000385571	0	0	0	0.540	0.062	0.311	0	0.471	0.465
ABL1	JAK2	9606.ENSP00000361423	9606.ENSP00000371067	0	0	0	0.577	0	0.213	0	0.774	0.467
ABL1	LATS2	9606.ENSP00000361423	9606.ENSP00000372035	0	0	0	0.541	0.087	0.282	0	0.570	0.490
ABL1	MAP4K1	9606.ENSP00000361423	9606.ENSP00000465039	0	0	0	0.552	0.063	0.507	0	0.109	0.534
ABL1	PRKCD	9606.ENSP00000361423	9606.ENSP00000378217	0	0	0	0.567	0.063	0.327	0	0.969	0.618
ABL1	PAK4	9606.ENSP00000361423	9606.ENSP00000469413	0	0	0	0.566	0.062	0.720	0	0.137	0.738
ABL1	EPHA6	9606.ENSP00000361423	9606.ENSP00000374323	0	0	0	0.585	0	0	0.800	0.059	0.801
ABL1	EPHB1	9606.ENSP00000361423	9606.ENSP00000381097	0	0	0	0.628	0	0.057	0.800	0.188	0.814
ABL1	EPHA5	9606.ENSP00000361423	9606.ENSP00000480763	0	0	0	0.611	0	0.057	0.800	0.187	0.815
ABL1	EPHB2	9606.ENSP00000361423	9606.ENSP00000363763	0	0	0	0.623	0.062	0.282	0.800	0.247	0.865
ABL1	MAP2K6	9606.ENSP00000361423	9606.ENSP00000468348	0	0	0	0.619	0	0.056	0.900	0.119	0.904
ABL1	YES1	9606.ENSP00000361423	9606.ENSP00000462468	0	0	0	0.883	0	0	0.900	0.513	0.905
ABL1	FGR	9606.ENSP00000361423	9606.ENSP00000363117	0	0	0	0.883	0	0	0.900	0.626	0.907
ABL1	LYN	9606.ENSP00000361423	9606.ENSP00000428924	0	0	0	0.881	0	0	0.900	0.722	0.908
ABL1	MAPK8	9606.ENSP00000361423	9606.ENSP00000378974	0	0	0	0.580	0	0.101	0.900	0.344	0.918
ABL1	CDK5	9606.ENSP00000361423	9606.ENSP00000419782	0	0	0	0.660	0	0.225	0.900	0.727	0.938
ABL1	ABL2	9606.ENSP00000361423	9606.ENSP00000427562	0	0	0	0.937	0	0.486	0.900	0.758	0.948
ABL1	HCK	9606.ENSP00000361423	9606.ENSP00000444986	0	0	0	0.881	0	0.486	0.900	0.865	0.951
ABL1	NTRK1	9606.ENSP00000361423	9606.ENSP00000431418	0	0	0	0.645	0	0.486	0.900	0.933	0.964
ABL1	SRC	9606.ENSP00000361423	9606.ENSP00000362680	0	0	0	0.882	0.067	0.675	0.900	0.861	0.970
ABL2	KALRN	9606.ENSP00000427562	9606.ENSP00000240874	0	0	0	0	0.085	0.330	0	0.258	0.505
ABL2	FLT3	9606.ENSP00000427562	9606.ENSP00000241453	0	0	0	0.602	0	0.331	0.600	0.325	0.754
ABL2	PDGFRB	9606.ENSP00000427562	9606.ENSP00000261799	0	0	0	0.576	0	0.331	0	0.556	0.483
ABL2	ERBB3	9606.ENSP00000427562	9606.ENSP00000267101	0	0	0	0.577	0	0.455	0	0.264	0.509
ABL2	ERBB2	9606.ENSP00000427562	9606.ENSP00000269571	0	0	0	0.589	0	0.667	0	0.369	0.714
ABL2	EGFR	9606.ENSP00000427562	9606.ENSP00000275493	0	0	0	0.590	0	0.705	0	0.411	0.751
ABL2	BCR	9606.ENSP00000427562	9606.ENSP00000303507	0	0	0	0	0.062	0.228	0	0.309	0.456
ABL2	TRIO	9606.ENSP00000427562	9606.ENSP00000339299	0	0	0	0.542	0.085	0.330	0	0.214	0.413
ABL2	ERBB4	9606.ENSP00000427562	9606.ENSP00000342235	0	0	0	0.595	0	0.455	0	0.285	0.511
ABL2	ABL1	9606.ENSP00000427562	9606.ENSP00000361423	0	0	0	0.937	0	0.486	0.900	0.758	0.948
ACVR1	ACVR2A	9606.ENSP00000263640	9606.ENSP00000241416	0	0	0	0.766	0.082	0.642	0.900	0.992	0.972
ACVR1	ACVR1C	9606.ENSP00000263640	9606.ENSP00000243349	0	0	0	0.931	0	0.290	0.900	0.809	0.930
ACVR1	PDGFRA	9606.ENSP00000263640	9606.ENSP00000257290	0	0	0	0	0	0.122	0	0.456	0.501
ACVR1	AMHR2	9606.ENSP00000263640	9606.ENSP00000257863	0	0	0	0.702	0.062	0	0.900	0.758	0.924
ACVR1	ALK	9606.ENSP00000263640	9606.ENSP00000373700	0	0	0	0.560	0	0.164	0	0.666	0.403
ACVR1	TGFBR2	9606.ENSP00000263640	9606.ENSP00000351905	0	0	0	0.757	0.096	0.250	0	0.653	0.403
ACVR1	KDR	9606.ENSP00000263640	9606.ENSP00000263923	0	0	0	0	0	0.244	0	0.285	0.436
ACVR1	ACVRL1	9606.ENSP00000263640	9606.ENSP00000373574	0	0	0	0.957	0	0.443	0.540	0.948	0.743
ACVR1	TGFBR1	9606.ENSP00000263640	9606.ENSP00000364133	0	0	0	0.930	0	0.569	0.540	0.922	0.806
ACVR1	BMPR1B	9606.ENSP00000263640	9606.ENSP00000401907	0	0	0	0.929	0.062	0.290	0.800	0.964	0.865
ACVR1	ACVR1B	9606.ENSP00000263640	9606.ENSP00000442656	0	0	0	0.917	0	0.593	0.720	0.904	0.890
ACVR1	ACVR2B	9606.ENSP00000263640	9606.ENSP00000340361	0	0	0	0.770	0.082	0.333	0.800	0.970	0.896
ACVR1	BMPR1A	9606.ENSP00000263640	9606.ENSP00000361107	0	0	0	0.929	0.062	0.768	0.800	0.986	0.956
ACVR1	BMPR2	9606.ENSP00000263640	9606.ENSP00000363708	0	0	0	0.752	0.062	0.814	0.900	0.990	0.985
ACVR1B	ACVR2A	9606.ENSP00000442656	9606.ENSP00000241416	0	0	0	0.745	0.073	0.779	0.600	0.989	0.933
ACVR1B	ACVR1C	9606.ENSP00000442656	9606.ENSP00000243349	0	0	0	0.965	0.062	0	0.720	0.939	0.735
ACVR1B	ACVR1	9606.ENSP00000442656	9606.ENSP00000263640	0	0	0	0.917	0	0.593	0.720	0.904	0.890
ACVR1B	ERBB2	9606.ENSP00000442656	9606.ENSP00000269571	0	0	0	0	0.062	0.174	0	0.314	0.422
ACVR1B	EGFR	9606.ENSP00000442656	9606.ENSP00000275493	0	0	0	0	0.062	0.174	0	0.352	0.454
ACVR1B	ACVR2B	9606.ENSP00000442656	9606.ENSP00000340361	0	0	0	0.738	0.073	0.651	0.600	0.991	0.895
ACVR1B	MUSK	9606.ENSP00000442656	9606.ENSP00000363571	0	0	0	0	0.063	0	0	0.456	0.468
ACVR1B	BMPR2	9606.ENSP00000442656	9606.ENSP00000363708	0	0	0	0.705	0.062	0.192	0	0.854	0.407
ACVR1B	TGFBR1	9606.ENSP00000442656	9606.ENSP00000364133	0	0	0	0.968	0.062	0	0.540	0.866	0.562
ACVR1B	TEC	9606.ENSP00000442656	9606.ENSP00000370912	0	0	0	0	0.074	0.388	0	0	0.409
ACVR1B	CDK8	9606.ENSP00000442656	9606.ENSP00000370938	0	0	0	0	0.063	0.056	0	0.457	0.478
ACVR1B	ALK	9606.ENSP00000442656	9606.ENSP00000373700	0	0	0	0	0	0.174	0	0.665	0.711
ACVR1B	DDR1	9606.ENSP00000442656	9606.ENSP00000427552	0	0	0	0	0.086	0.062	0	0.456	0.493
ACVR1B	BTK	9606.ENSP00000442656	9606.ENSP00000483570	0	0	0	0.551	0.074	0.386	0	0.050	0.409
ACVR1C	ACVR2A	9606.ENSP00000243349	9606.ENSP00000241416	0	0	0	0.799	0.073	0.348	0.800	0.856	0.891
ACVR1C	TGFBR1	9606.ENSP00000243349	9606.ENSP00000364133	0	0	0	0.969	0	0	0.540	0.786	0.551
ACVR1C	ALK	9606.ENSP00000243349	9606.ENSP00000373700	0	0	0	0	0	0.174	0	0.539	0.602
ACVR1C	ACVR1B	9606.ENSP00000243349	9606.ENSP00000442656	0	0	0	0.965	0.062	0	0.720	0.939	0.735
ACVR1C	ACVR2B	9606.ENSP00000243349	9606.ENSP00000340361	0	0	0	0.800	0.073	0.348	0.800	0.934	0.893
ACVR1C	ACVR1	9606.ENSP00000243349	9606.ENSP00000263640	0	0	0	0.931	0	0.290	0.900	0.809	0.930
ACVR2A	PIK3CA	9606.ENSP00000241416	9606.ENSP00000263967	0	0	0	0	0.062	0.104	0	0.385	0.438
ACVR2A	ALK	9606.ENSP00000241416	9606.ENSP00000373700	0	0	0	0	0	0	0	0.630	0.630
ACVR2A	BMPR2	9606.ENSP00000241416	9606.ENSP00000363708	0	0	0	0.834	0.062	0.270	0.800	0.981	0.875
ACVR2A	ACVR1C	9606.ENSP00000241416	9606.ENSP00000243349	0	0	0	0.799	0.073	0.348	0.800	0.856	0.891
ACVR2A	TGFBR1	9606.ENSP00000241416	9606.ENSP00000364133	0	0	0	0.790	0.073	0.348	0.800	0.925	0.894
ACVR2A	BMPR1B	9606.ENSP00000241416	9606.ENSP00000401907	0	0	0	0.789	0.096	0.348	0.800	0.881	0.895
ACVR2A	ACVR1B	9606.ENSP00000241416	9606.ENSP00000442656	0	0	0	0.745	0.073	0.779	0.600	0.989	0.933
ACVR2A	ACVR2B	9606.ENSP00000241416	9606.ENSP00000340361	0	0	0	0.973	0.064	0.398	0.900	0.986	0.940
ACVR2A	ACVRL1	9606.ENSP00000241416	9606.ENSP00000373574	0	0	0	0.764	0.062	0.630	0.900	0.803	0.969
ACVR2A	ACVR1	9606.ENSP00000241416	9606.ENSP00000263640	0	0	0	0.766	0.082	0.642	0.900	0.992	0.972
ACVR2A	BMPR1A	9606.ENSP00000241416	9606.ENSP00000361107	0	0	0	0.796	0.122	0.895	0.800	0.866	0.983
ACVR2B	XYLB	9606.ENSP00000340361	9606.ENSP00000207870	0	0	0	0	0	0	0	0.610	0.610
ACVR2B	ACVR2A	9606.ENSP00000340361	9606.ENSP00000241416	0	0	0	0.973	0.064	0.398	0.900	0.986	0.940
ACVR2B	ACVR1C	9606.ENSP00000340361	9606.ENSP00000243349	0	0	0	0.800	0.073	0.348	0.800	0.934	0.893
ACVR2B	ACVR1	9606.ENSP00000340361	9606.ENSP00000263640	0	0	0	0.770	0.082	0.333	0.800	0.970	0.896
ACVR2B	TXK	9606.ENSP00000340361	9606.ENSP00000264316	0	0	0	0	0	0	0	0.569	0.569
ACVR2B	ROCK2	9606.ENSP00000340361	9606.ENSP00000317985	0	0	0	0	0	0	0	0.667	0.667
ACVR2B	BMPR2	9606.ENSP00000340361	9606.ENSP00000363708	0	0	0	0.838	0.049	0	0.300	0.912	0.408
ACVR2B	AKT1	9606.ENSP00000340361	9606.ENSP00000451828	0	0	0	0	0	0	0	0.437	0.437
ACVR2B	ALK	9606.ENSP00000340361	9606.ENSP00000373700	0	0	0	0	0	0	0	0.602	0.602
ACVR2B	BMPR1B	9606.ENSP00000340361	9606.ENSP00000401907	0	0	0	0.778	0.073	0.348	0.800	0.791	0.891
ACVR2B	ACVR1B	9606.ENSP00000340361	9606.ENSP00000442656	0	0	0	0.738	0.073	0.651	0.600	0.991	0.895
ACVR2B	ACVRL1	9606.ENSP00000340361	9606.ENSP00000373574	0	0	0	0.750	0.062	0.709	0.900	0.767	0.975
ACVR2B	TGFBR1	9606.ENSP00000340361	9606.ENSP00000364133	0	0	0	0.773	0.073	0.864	0.800	0.954	0.978
ACVR2B	BMPR1A	9606.ENSP00000340361	9606.ENSP00000361107	0	0	0	0.758	0.096	0.864	0.800	0.899	0.979
ACVRL1	ACVR2A	9606.ENSP00000373574	9606.ENSP00000241416	0	0	0	0.764	0.062	0.630	0.900	0.803	0.969
ACVRL1	PDGFRB	9606.ENSP00000373574	9606.ENSP00000261799	0	0	0	0	0.155	0.122	0	0.279	0.419
ACVRL1	ACVR1	9606.ENSP00000373574	9606.ENSP00000263640	0	0	0	0.957	0	0.443	0.540	0.948	0.743
ACVRL1	EIF2AK4	9606.ENSP00000373574	9606.ENSP00000263791	0	0	0	0	0.062	0	0	0.430	0.443
ACVRL1	KDR	9606.ENSP00000373574	9606.ENSP00000263923	0	0	0	0	0.103	0.122	0	0.426	0.508
ACVRL1	ACVR2B	9606.ENSP00000373574	9606.ENSP00000340361	0	0	0	0.750	0.062	0.709	0.900	0.767	0.975
ACVRL1	TGFBR2	9606.ENSP00000373574	9606.ENSP00000351905	0	0	0	0.759	0.089	0.687	0.900	0.895	0.975
ACVRL1	BMPR2	9606.ENSP00000373574	9606.ENSP00000363708	0	0	0	0.723	0.062	0	0.900	0.939	0.927
ACVRL1	TGFBR1	9606.ENSP00000373574	9606.ENSP00000364133	0	0	0	0.920	0	0.478	0.900	0.916	0.949
ACVRL1	NMRK2	9606.ENSP00000373574	9606.ENSP00000480091	0	0	0	0	0	0.142	0	0.387	0.452
ACVRL1	PFKFB3	9606.ENSP00000373574	9606.ENSP00000443319	0	0	0	0	0.062	0.058	0	0.536	0.554
ADCK1	ADCK2	9606.ENSP00000238561	9606.ENSP00000072869	0	0	0.348	0.560	0.108	0	0	0.823	0.508
ADCK1	TP53RK	9606.ENSP00000238561	9606.ENSP00000361186	0	0	0	0	0.062	0	0	0.387	0.401
ADCK1	RIOK2	9606.ENSP00000238561	9606.ENSP00000283109	0	0	0	0	0.062	0	0	0.396	0.409
ADCK1	PIK3C2A	9606.ENSP00000238561	9606.ENSP00000265970	0	0	0	0	0.064	0	0	0.403	0.418
ADCK1	ADCK4	9606.ENSP00000238561	9606.ENSP00000315118	0	0	0.347	0.592	0.085	0	0	0.753	0.445
ADCK1	ADCK3	9606.ENSP00000238561	9606.ENSP00000355741	0	0	0.302	0.592	0.085	0	0	0.804	0.450
ADCK1	PI4KB	9606.ENSP00000238561	9606.ENSP00000357869	0	0	0	0	0.083	0	0	0.430	0.455
ADCK1	CDKL3	9606.ENSP00000238561	9606.ENSP00000265334	0	0	0	0	0	0	0	0.511	0.511
ADCK1	AAK1	9606.ENSP00000238561	9606.ENSP00000386456	0	0	0	0	0.066	0	0	0.527	0.540
ADCK2	DGKI	9606.ENSP00000072869	9606.ENSP00000288490	0	0	0	0	0.134	0	0	0.367	0.428
ADCK2	ADCK5	9606.ENSP00000072869	9606.ENSP00000310547	0	0	0.307	0.549	0.181	0	0	0.705	0.507
ADCK2	ADCK1	9606.ENSP00000072869	9606.ENSP00000238561	0	0	0.348	0.560	0.108	0	0	0.823	0.508
ADCK2	AAK1	9606.ENSP00000072869	9606.ENSP00000386456	0	0	0	0	0.062	0	0	0.518	0.529
ADCK2	ADCK4	9606.ENSP00000072869	9606.ENSP00000315118	0	0	0	0	0.063	0	0	0.606	0.615
ADCK2	ADCK3	9606.ENSP00000072869	9606.ENSP00000355741	0	0	0	0	0.063	0	0	0.650	0.658
ADCK3	ADCK2	9606.ENSP00000355741	9606.ENSP00000072869	0	0	0	0	0.063	0	0	0.650	0.658
ADCK3	ADCK1	9606.ENSP00000355741	9606.ENSP00000238561	0	0	0.302	0.592	0.085	0	0	0.804	0.450
ADCK3	LRRK2	9606.ENSP00000355741	9606.ENSP00000298910	0.051	0	0	0	0.070	0.486	0	0.085	0.529
ADCK3	ADCK5	9606.ENSP00000355741	9606.ENSP00000310547	0	0	0.314	0.562	0.085	0	0	0.719	0.447
ADCK3	IRAK1	9606.ENSP00000355741	9606.ENSP00000358997	0	0	0	0	0.062	0.397	0	0.059	0.421
ADCK4	ADCK2	9606.ENSP00000315118	9606.ENSP00000072869	0	0	0	0	0.063	0	0	0.606	0.615
ADCK4	ADCK1	9606.ENSP00000315118	9606.ENSP00000238561	0	0	0.347	0.592	0.085	0	0	0.753	0.445
ADCK4	DGKE	9606.ENSP00000315118	9606.ENSP00000284061	0	0	0	0	0.088	0	0	0.394	0.423
ADCK4	ADCK5	9606.ENSP00000315118	9606.ENSP00000310547	0	0	0.316	0.571	0.085	0	0	0.800	0.470
ADCK5	ADCK2	9606.ENSP00000310547	9606.ENSP00000072869	0	0	0.307	0.549	0.181	0	0	0.705	0.507
ADCK5	RIOK2	9606.ENSP00000310547	9606.ENSP00000283109	0	0	0	0	0.062	0	0	0.396	0.409
ADCK5	FUK	9606.ENSP00000310547	9606.ENSP00000288078	0	0	0	0	0.067	0	0	0.414	0.430
ADCK5	ADCK3	9606.ENSP00000310547	9606.ENSP00000355741	0	0	0.314	0.562	0.085	0	0	0.719	0.447
ADCK5	ADCK4	9606.ENSP00000310547	9606.ENSP00000315118	0	0	0.316	0.571	0.085	0	0	0.800	0.470
ADK	XYLB	9606.ENSP00000286621	9606.ENSP00000207870	0.219	0	0	0	0.062	0	0	0.343	0.476
ADK	DGUOK	9606.ENSP00000286621	9606.ENSP00000264093	0	0	0	0	0.068	0	0	0.472	0.487
ADK	AK7	9606.ENSP00000286621	9606.ENSP00000267584	0.052	0	0	0	0.103	0.200	0.900	0.294	0.943
ADK	PFKL	9606.ENSP00000286621	9606.ENSP00000269848	0.069	0	0	0	0.065	0	0	0.399	0.431
ADK	GNE	9606.ENSP00000286621	9606.ENSP00000379839	0.199	0	0	0	0	0	0	0.286	0.403
ADK	ALDH18A1	9606.ENSP00000286621	9606.ENSP00000360268	0.211	0	0	0	0	0	0	0.276	0.404
ADK	TRIO	9606.ENSP00000286621	9606.ENSP00000339299	0	0	0	0	0.063	0	0	0.394	0.408
ADK	MAP3K11	9606.ENSP00000286621	9606.ENSP00000309597	0	0	0	0	0	0	0	0.433	0.433
ADK	CMPK1	9606.ENSP00000286621	9606.ENSP00000360939	0.052	0	0	0	0.093	0.134	0	0.359	0.459
ADK	GUK1	9606.ENSP00000286621	9606.ENSP00000355689	0	0	0	0	0.077	0.078	0	0.422	0.466
ADK	PRPS1L1	9606.ENSP00000286621	9606.ENSP00000424595	0.050	0	0	0	0	0.192	0	0.369	0.474
ADK	PASK	9606.ENSP00000286621	9606.ENSP00000351475	0	0	0	0	0.065	0.056	0	0.468	0.489
ADK	PRPS1	9606.ENSP00000286621	9606.ENSP00000361512	0.050	0	0	0	0	0.192	0	0.405	0.504
ADK	PRPS2	9606.ENSP00000286621	9606.ENSP00000381504	0.050	0	0	0	0	0.192	0	0.409	0.506
ADK	AGK	9606.ENSP00000286621	9606.ENSP00000347581	0	0	0	0	0.049	0	0	0.516	0.520
ADK	TK2	9606.ENSP00000286621	9606.ENSP00000299697	0	0	0	0	0.062	0	0	0.580	0.589
ADK	DCK	9606.ENSP00000286621	9606.ENSP00000286648	0	0	0	0	0.062	0	0	0.645	0.653
ADK	SNRK	9606.ENSP00000286621	9606.ENSP00000296088	0	0	0	0	0	0	0	0.699	0.699
ADK	TAF9	9606.ENSP00000286621	9606.ENSP00000370201	0.129	0	0	0	0.063	0	0.900	0	0.911
ADK	AK5	9606.ENSP00000286621	9606.ENSP00000346577	0.052	0	0	0	0.062	0.134	0.900	0.275	0.934
ADK	AK3	9606.ENSP00000286621	9606.ENSP00000371230	0.052	0	0	0	0.103	0.200	0.900	0.424	0.953
ADK	AK9	9606.ENSP00000286621	9606.ENSP00000410186	0.052	0	0	0	0.111	0.200	0.900	0.428	0.954
ADK	AK8	9606.ENSP00000286621	9606.ENSP00000298545	0.052	0	0	0	0.111	0.200	0.900	0.470	0.957
ADK	AK4	9606.ENSP00000286621	9606.ENSP00000378743	0.052	0	0	0	0.122	0.200	0.900	0.475	0.958
ADK	AK1	9606.ENSP00000286621	9606.ENSP00000362271	0.052	0	0	0	0.062	0.134	0.900	0.722	0.974
ADK	AK2	9606.ENSP00000286621	9606.ENSP00000346921	0.052	0	0	0	0.170	0.252	0.900	0.715	0.980
ADPGK	GCK	9606.ENSP00000312250	9606.ENSP00000223366	0	0	0	0	0	0	0.800	0.774	0.952
ADPGK	PFKFB4	9606.ENSP00000312250	9606.ENSP00000232375	0	0	0	0	0	0	0	0.532	0.532
ADPGK	HK2	9606.ENSP00000312250	9606.ENSP00000290573	0	0	0	0	0.062	0	0.800	0.341	0.865
ADPGK	HK3	9606.ENSP00000312250	9606.ENSP00000292432	0	0	0	0	0	0	0.800	0.311	0.856
ADPGK	CLK3	9606.ENSP00000312250	9606.ENSP00000378505	0	0	0	0	0	0	0	0.601	0.601
ADPGK	GLYCTK	9606.ENSP00000312250	9606.ENSP00000389175	0	0	0	0	0	0	0.800	0	0.800
ADPGK	HKDC1	9606.ENSP00000312250	9606.ENSP00000346643	0	0	0	0	0	0	0.800	0.192	0.831
ADPGK	HK1	9606.ENSP00000312250	9606.ENSP00000402103	0	0	0	0	0	0.115	0.800	0.465	0.897
ADRBK1	CSNK1G2	9606.ENSP00000312262	9606.ENSP00000255641	0	0	0	0	0.097	0	0.600	0.101	0.647
ADRBK1	PRKCG	9606.ENSP00000312262	9606.ENSP00000263431	0	0	0	0.648	0.051	0.213	0.900	0.053	0.919
ADRBK1	TYRO3	9606.ENSP00000312262	9606.ENSP00000263798	0	0	0	0	0	0.142	0	0.364	0.430
ADRBK1	PIK3CA	9606.ENSP00000312262	9606.ENSP00000263967	0	0	0	0	0	0.076	0	0.478	0.497
ADRBK1	EGFR	9606.ENSP00000312262	9606.ENSP00000275493	0	0	0	0	0	0.486	0	0.472	0.717
ADRBK1	INSR	9606.ENSP00000312262	9606.ENSP00000303830	0	0	0	0.546	0	0.142	0	0.845	0.468
ADRBK1	PRKCB	9606.ENSP00000312262	9606.ENSP00000305355	0	0	0	0.656	0.051	0.678	0	0.456	0.728
